name;provider;release_date;genres;price;platform;size;is_plus_exclusive
Mighty No. 9;Deep Silver;;Arcade;19,99 €;PS3, PS4;"
                3.38 GB
              ";
A Q*bert: Rebooted Game and Pixels Theme Bundle;LOOT Interactive;;Arcade;10,99 €;PS4, PS Vita, PS3;;
In Space We Brawl;FORGE REPLY S.R.L.;;Shooter;8,99 €;PS3, PS4;;
Oddworld: New 'n' Tasty (PS4™);Oddworld Inhabitants. Inc;;Aventura;19,99 €;PS3, PS4, PS Vita;"
                10.98 GB
              ";
Journey™;Sony Interactive Entertainment Europe;;Aventura;14,99 €;PS3, PS4;"
                3.29 GB
              ";
Child of Light;UBISOFT ENTERTAINMENT SA;;Juegos de rol;14,99 €;PS3, PS4;"
                4.37 GB
              ";
Fat Princess: Paquete Supergrande de aniversario;Sony Interactive Entertainment Europe;;Estrategia;14,99 €;PS3;;
99Vidas;"
Juego completo
Lanzado 8 Dic 2017












                  127 Calificaciones
                

";;Acción;9,99 €;PS3, PS4, PS Vita;"
                2.87 GB
              ";
Rag Doll Kung Fu™: Fists of Plastic;Sony Interactive Entertainment Europe;;Lucha;4,99 €;PS3;;
Teslagrad;RAIN AS;;Acción;14,99 €;PS3, PS4, PS Vita;"
                2.11 GB
              ";
LOOT™ Ultimate Games & Themes Bundle;LOOT Interactive;;Estrategia;29,99 €;PS3, PS4, PS Vita;"
                3.83 GB
              ";
FEZ;"
Juego
Lanzado 26 Mar 2014












                  18122 Calificaciones
                

";;Aventura;9,99 €;PS3, PS4, PS Vita;;
Super Mega Baseball;"
Paquete
Lanzado 1 Abr 2015












                  406 Calificaciones
                

";;Deportes;19,99 €;PS3, PS4;;
HELLDIVERS™;Sony Interactive Entertainment Europe;;Español;19,99 €;PS3, PS4, PS Vita;"
                6.99 GB
              ";
Hotline Miami 2: Wrong Number;Devolver Digital;;Acción;14,99 €;PS3, PS4, PS Vita;"
                1.23 GB
              ";
The Unfinished Swan™;Sony Interactive Entertainment Europe;;Único;12,99 €;PS3, PS4, PS Vita;"
                4.14 GB
              ";
BADLAND: Game of the Year Edition;"
Paquete
Lanzado 28 Mayo 2015












                  4213 Calificaciones
                

";;Puzzle;11,99 €;PS3, PS4, PS Vita;;
Flower™;Sony Interactive Entertainment Europe;;Holandés;7,99 €;PS3, PS4, PS Vita;"
                1.88 GB
              ";
Hotline Miami;Devolver Digital;;Acción;9,99 €;PS3, PS4, PS Vita;"
                1.84 GB
              ";
Sky Force Anniversary;INFINITE DREAMS SP. Z O.O.;;Shooter;9,99 €;PS3, PS4, PS Vita;;
The Swapper;Curve Digital;;Puzzle;14,99 €;PS3, PS4, PS Vita;;
HELLDIVERS™: Edición definitiva de Supertierra;Sony Interactive Entertainment Europe;;Shooter;29,99 €;PS3, PS4, PS Vita;"
                8.22 GB
              ";
Hyper Void;"
Paquete
Lanzado 8 Ene 2016












                  1775 Calificaciones
                

";;Arcade;7,49 €;PS3, PS4;"
                1.8 GB
              ";
Quantum Conundrum™;Square Enix LTD;;;10,99 €;PS3;"
                1.61 GB
              ";
Shovel Knight: Treasure Trove;"
Paquete
Lanzado 23 Abr 2015












                  3949 Calificaciones
                

";;Aventura;24,99 €;PS3, PS4, PS Vita;;
Aaru's Awakening;"
Paquete
Lanzado 8 Abr 2015












                  5686 Calificaciones
                

";;Acción;12,99 €;PS3, PS4;"
                3.72 GB
              ";
Abyss Odyssey™;ATLUS USA;;;14,99 €;PS3;;
Another World - 20th Anniversary Edition;DIGITAL LOUNGE;;Acción;7,99 €;PS3, PS4, PS Vita;;
CounterSpy™;Sony Interactive Entertainment Europe;;Acción;12,99 €;PS3, PS4, PS Vita;"
                3.36 GB
              ";
Doki-Doki Universe™;Sony Interactive Entertainment Europe;;;7,49 €;PS3;;
flOw™;Sony Interactive Entertainment Europe;;Holandés;4,99 €;PS4, PS Vita, PS3;"
                1.04 GB
              ";
NAMCO Generations Bundle;BANDAI NAMCO ENTERTAINMENT EUROPE;;Arcade;14,99 €;PS3;;
Pumped BMX +;Curve Digital;;Deportes;9,99 €;PS3, PS4, PS Vita;;
RESOGUN™;Sony Interactive Entertainment Europe;;Inglés;12,99 €;PS3, PS4, PS Vita;"
                1.05 GB
              ";
Retro/Grade;24 Caret Games;;;9,99 €;PS3;;
Truck Racer;BIGBEN INTERACTIVE SA;;Carreras;12,99 €;PS3;;
WWE 2K16;2K;;Acción;49,99 €;PS3;"
                14.66 GB
              ";
Ar nosurge: Ode to an Unborn Star;Koei Tecmo Europe Ltd;;Juegos de rol;49,99 €;PS3;"
                12.14 GB
              ";
Bundle CoJ Gunslinger + FC Blood Dragon;UBISOFT ENTERTAINMENT SA;;Aventura;24,99 €;PS3;"
                3.84 GB
              ";
Everybody's Golf®;Sony Interactive Entertainment Europe;;Deportes;14,99 €;PS3;"
                3.24 GB
              ";
First-person Bundle;GRIP DIGITAL S.R.O.;;Puzzle;9,99 €;PS3, PS4;"
                5.58 GB
              ";
Flower™;Sony Interactive Entertainment Europe;;;7,99 €;PS3, PS Vita;"
                1.07 GB
              ";
Joe Danger 2: The Movie;Hello Games LTD;;;12,99 €;PS3;"
                1.14 GB
              ";
Playstation®Move Heroes;Sony Interactive Entertainment Europe;;;1,99 €;PS3;"
                11 GB
              ";
RACE THE SUN ®;Flippfly LLC;;Carreras;8,99 €;PS3, PS4, PS Vita;;
Rainbow Moon Cross-Save Bundle;eastasiasoft;;Juegos de rol;19,99 €;PS3;"
                3.17 GB
              ";
Rogue Legacy;"
Paquete
Lanzado 30 Jul 2014












                  6704 Calificaciones
                

";;Lucha;3,99 €;PS3, PS4, PS Vita;"
                1.66 GB
              ";
Sound Shapes™;Sony Interactive Entertainment Europe;;Único;12,99 €;PS Vita, PS3;"
                3.22 GB
              ";
STARWHAL;"
Paquete
Lanzado 4 Mar 2015












                  1396 Calificaciones
                

";;Lucha;11,99 €;PS3, PS4;"
                1.11 GB
              ";
Tiny Troopers Joint Ops;WIRED PRODUCTIONS LIMITED;;Lucha;6,99 €;PS3, PS4, PS Vita;"
                4.09 GB
              ";
Tower of Guns;GRIP DIGITAL S.R.O.;;Shooter;14,49 €;PS3, PS4;"
                2.95 GB
              ";
Aqua Vita™;Sony Interactive Entertainment Europe;;;2,99 €;PS3;;
Battle Princess of Arcadias;NIS America;;Juegos de rol;29,99 €;PS3;"
                1.01 GB
              ";
Blood Knights;"
Juego PSN
Lanzado 20 Nov 2013












                  393 Calificaciones
                

";;;14,99 €;PS3;"
                1.47 GB
              ";
Dead Space™ Extraction;EA Swiss Sarl;;Shooter;14,99 €;PS3;"
                3.45 GB
              ";
.detuned™;Sony Interactive Entertainment Europe;;Único;2,99 €;PS3;;
Dragon Fin Soup;"
Paquete
Lanzado 3 Nov 2015












                  4477 Calificaciones
                

";;Juegos de rol;19,99 €;PS3, PS4, PS Vita;"
                1.38 GB
              ";
flOw™;Sony Interactive Entertainment Europe;;Único;4,99 €;PS3, PS4, PS Vita;"
                1.04 GB
              ";
From Dust™;UBISOFT ENTERTAINMENT SA;;Estrategia;14,99 €;PS3;;
Giana Sisters: Twisted Dreams;"
Juego PSN
Lanzado 19 Jun 2013












                  1844 Calificaciones
                

";;Puzzle;14,99 €;PS3;"
                1.65 GB
              ";
Hohokum™;Sony Interactive Entertainment Europe;;Puzzle;12,99 €;PS3, PS4, PS Vita;"
                7.07 GB
              ";
Hydrophobia Prophecy;Cherry Pop Games Limited;;Acción;1,49 €;PS3;"
                1.77 GB
              ";
Joe Danger;Hello Games LTD;;Carreras;12,99 €;PS3;;
KickBeat;ZEN STUDIOS LTD;;;8,99 €;PS3;"
                2.16 GB
              ";
Linger in Shadows™;Sony Interactive Entertainment Europe;;Único;2,99 €;PS3;;
Lost Planet 3;CE EUROPE LIMITED;;Shooter;12,99 €;PS3;"
                15.49 GB
              ";
LUFTRAUSERS;Devolver Digital;;Arcade;8,99 €;PS3;;
Monster World IV;SEGA EUROPE LTD;;Juegos de rol;4,49 €;PS3;;
NAtURAL DOCtRINE;NIS America;;Estrategia;19,99 €;PS3;"
                6.56 GB
              ";
Nova-111;Curve Digital;;Estrategia;9,99 €;PS3, PS4, PS Vita;;
Odin Sphere Leifthrasir;NIS America;;Juegos de rol;39,99 €;PS3;"
                4.46 GB
              ";
PixelJunk™ Shooter;Sony Interactive Entertainment Europe;;Shooter;7,99 €;PS3;;
Prince of Persia Las Arenas Olvidadas™;UBISOFT ENTERTAINMENT SA;"











                  1044 Calificaciones
                
";Aventura;9,99 €;PS3;"
                4.7 GB
              ";
Renegade Ops;SEGA EUROPE LTD;;;7,99 €;PS3;"
                2.53 GB
              ";
Rocket Knight;Konami;;Shooter;12,99 €;PS3;;
Söldner-X 2: Final Prototype + Söldner-X Himmelsstürmer Bundle;eastasiasoft;;Shooter;14,99 €;PS3;"
                2.32 GB
              ";
Snakeball™;Sony Interactive Entertainment Europe;;Arcade;3,99 €;PS3;;
Super Stardust HD™;Sony Interactive Entertainment Europe;;Shooter;7,99 €;PS3;;
The Bridge;"
Paquete
Lanzado 25 Ago 2015












                  130 Calificaciones
                

";;Puzzle;9,99 €;PS3, PS4, PS Vita;;
The House of the Dead: OVERKILL™ Versión  Extendida;SEGA EUROPE LTD;;Shooter;;PS3;"
                7.53 GB
              ";
The Stealth Inc 1 & 2 Ultimate-est Edition;Curve Digital;;Puzzle;16,99 €;PS3, PS4, PS Vita;"
                1.67 GB
              ";
The Unfinished Swan™: Prueba y desbloquea;Sony Interactive Entertainment Europe;;;12,99 €;PS3;"
                1.59 GB
              ";
Thomas Was Alone;Curve Digital;;Puzzle;7,99 €;PS3, PS4, PS Vita;;
A Boy and His Blob;MAJESCO EUROPE LTD;;Aventura;9,99 €;PS3, PS4, PS Vita;"
                4.75 GB
              ";
ACRO Edición Supremacía Templaria;UBISOFT ENTERTAINMENT SA;;Aventura;34,99 €;PS3;"
                6.52 GB
              ";
ACTUALIZACIÓN de MXGP COMPACT a la versión completa;MILESTONE SRL;;Carreras;12,99 €;PS3;"
                3.89 GB
              ";
Agarest: Generations of War Zero;GHOSTLIGHT LIMITED;;Estrategia;24,99 €;PS3;"
                13.66 GB
              ";
Anarchy Reigns;SEGA EUROPE LTD;;Aventura;24,99 €;PS3;"
                12.89 GB
              ";
Assassin's Creed® II;UBISOFT ENTERTAINMENT SA;;Aventura;;PS3;;
Awesomenauts;dtp entertainment AG;;;9,99 €;PS3;;
Battlefield™ Hardline Edición Definitiva;EA Swiss Sarl;;Acción;69,99 €;PS3;"
                14.12 GB
              ";
Bionic Commando Rearmed 1 and 2 Bundle;CE EUROPE LIMITED;;;14,99 €;PS3;"
                1.77 GB
              ";
Bionic Commando™ Rearmed 2;CE EUROPE LIMITED;;Shooter;14,99 €;PS3;"
                1.41 GB
              ";
BioShock Infinite;2K;;Shooter;29,99 €;PS3;"
                6.38 GB
              ";
BlazeRush;TARGEM GAMES;;Carreras;9,99 €;PS3;;
Blue Toad Murder Files™ Episode 1;Relentless Software Ltd;;Grupo;3,59 €;PS3;;
CastleStorm Complete Edition;ZEN STUDIOS LTD;;Shooter;14,99 €;PS3;;
Cel Damage HD;Finish Line Games;;Carreras;8,99 €;PS3, PS4, PS Vita;"
                1.78 GB
              ";
Child of Eden™;UBISOFT ENTERTAINMENT SA;;Shooter;9,99 €;PS3;"
                1.86 GB
              ";
Comix Zone;SEGA EUROPE LTD;;Arcade;4,49 €;PS3;;
Cosmophony;MOVING PLAYER SAS;;Arcade;4,99 €;PS3, PS Vita, PS4;"
                1.27 GB
              ";
CRASH COMMANDO™;Sony Interactive Entertainment Europe;;Shooter;4,99 €;PS3;;
Critter Crunch;Capybara Games Inc.;;;5,99 €;PS3;;
Crystal Defenders™;Square Enix LTD;;Estrategia;9,99 €;PS3;;
Cubixx HD;Laughing Jackal Ltd.;;Puzzle;7,99 €;PS3;;
Dark Mist™;Sony Interactive Entertainment Europe;;Aventura;4,99 €;PS3;;
Dungeons & Dragons: Chronicles of Mystara;CE EUROPE LIMITED;;Arcade;14,99 €;PS3;;
Dyad;Right Square Bracket, Left Square Bracket Games;;Único;12,99 €;PS3;"
                1.3 GB
              ";
Echochrome™ ii;Sony Interactive Entertainment Europe;;Puzzle;4,99 €;PS3;;
Elevator Action™ Deluxe;Square Enix LTD;;Acción;7,99 €;PS3;;
Entwined™;Sony Interactive Entertainment Europe;;Acción;7,99 €;PS3, PS4, PS Vita;"
                4.42 GB
              ";
FERRARI THE RACE EXPERIENCE;SYSTEM 3 SOFTWARE;;Carreras;14,99 €;PS3;"
                2.14 GB
              ";
FEZ;"
Juego PSN
Lanzado 26 Mar 2014












                  1192 Calificaciones
                

";;Español;9,99 €;PS3;;
Flower;Sony Interactive Entertainment Europe;;Único;7,99 €;PS3;"
                1.07 GB
              ";
Frozen Synapse Prime;Double Eleven Limited;;Estrategia;16,99 €;PS3;;
Guacamelee!;DRINKBOX STUDIOS INC.;;Aventura;12,99 €;PS3;;
Handball 16;BIGBEN INTERACTIVE SA;;Deportes;24,99 €;PS3;"
                1.96 GB
              ";
High Velocity Bowling™;Sony Interactive Entertainment Europe;;Grupo;4,99 €;PS3;;
HOARD™;Big Sandwich Games Inc.;;;9,99 €;PS3;;
Hustle Kings™;Sony Interactive Entertainment Europe;;Deportes;7,99 €;PS3;;
Hustle Kings™ Complete;Sony Interactive Entertainment Europe;;Deportes;12,99 €;PS3;"
                1.06 GB
              ";
Hyperdimension Neptunia Victory;NIS America;;Juegos de rol;19,99 €;PS3;"
                5.1 GB
              ";
I Am Alive;UBISOFT ENTERTAINMENT SA;;;14,99 €;PS3;"
                1.91 GB
              ";
Instant Indie Collection: Vol. 1;Curve Digital;;Aventura;21,99 €;PS3, PS4, PS Vita;"
                2.73 GB
              ";
Instant Indie Collection: Vol. 2;Curve Digital;;Deportes;24,99 €;PS3, PS4, PS Vita;"
                2.99 GB
              ";
Legasista;NIS America;;Juegos de rol;20,99 €;PS3;"
                1.57 GB
              ";
LIFE IS STRANGE -(TRIAL);Square Enix LTD;;Aventura;;PS3;;
Lote de oferta especial de Darkstalkers Resurrection;CE EUROPE LIMITED;"











                  16 Calificaciones
                
";Arcade;11,99 €;PS3;;Plus exclusive
Mad Riders;UBISOFT ENTERTAINMENT SA;;;9,99 €;PS3;"
                1.25 GB
              ";
Magic Orbz;Creat Studios, Inc;;Puzzle;9,99 €;PS3;;
Mahjong Tales: Ancient Wisdom;Creat Studios, Inc;;Puzzle;9,99 €;PS3;;
Marvel Puzzle Quest: Dark Reign;"
Paquete
Lanzado 30 Oct 2015












                  261 Calificaciones
                

";;Estrategia;14,49 €;PS3, PS4;"
                1.47 GB
              ";
Medieval Moves;Sony Interactive Entertainment Europe;"











                  379 Calificaciones
                
";Aventura;0,99 €;PS3;"
                8.05 GB
              ";
Might & Magic Clash Of Heroes™ + DLC;UBISOFT ENTERTAINMENT SA;;;17,99 €;PS3;"
                1.58 GB
              ";
MouseCraft;Curve Digital;;Puzzle;7,99 €;PS3, PS4, PS Vita;;
Nitroplus Blasterz: Heroines Infinite;Marvelous Europe Limited;;Lucha;29,99 €;PS3;"
                2.14 GB
              ";
OlliOlli;Roll7;;Acción;9,99 €;PS3, PS4, PS Vita;;
Operation Creature Feature™;Sony Interactive Entertainment Europe;;Puzzle;2,99 €;PS3;;
Pack definitivo para Sound Shapes™;Sony Interactive Entertainment Europe;;Familia;14,99 €;PS4, PS Vita, PS3;"
                3.46 GB
              ";
Pack Lo mejor de PSN;Sony Interactive Entertainment Europe;;;29,99 €;PS3;"
                7.89 GB
              ";
Page Chronica™;RED HARE STUDIOS;;Aventura;10,99 €;PS3;"
                1.43 GB
              ";
Painkiller - Hell & Damnation;THQ NORDIC GMBH;;Lucha;19,99 €;PS3;"
                1.97 GB
              ";
Pier Solar and the Great Architects;"
Paquete
Lanzado 12 Nov 2014












                  971 Calificaciones
                

";;Juegos de rol;12,99 €;PS3, PS4;"
                3.79 GB
              ";
Piyotama™;Sony Interactive Entertainment Europe;;Puzzle;1,99 €;PS3;;
Proteus;Curve Digital;;Único;7,99 €;PS3;;
Putty Squad;SYSTEM 3 SOFTWARE;;Familia;24,99 €;PS3;;
Q.U.B.E: Director's Cut;GRIP DIGITAL S.R.O.;;Aventura;9,99 €;PS3, PS4;"
                2.63 GB
              ";
Rainbow Moon;eastasiasoft;;Juegos de rol;12,99 €;PS3;"
                1.79 GB
              ";
Red Faction Armageddon;THQ (UK) LTD;;Acción;0,99 €;PS3;"
                5.44 GB
              ";
Resistance: Fall of Man™;Sony Interactive Entertainment Europe;;;14,99 €;PS3;"
                17.99 GB
              ";
Retro City Rampage™ DX;"
Paquete
Lanzado 27 Jul 2016












                  1060 Calificaciones
                

";;Carreras;9,99 €;PS3, PS4, PS Vita, PSP®;;
Ricochet HD;TIKGAMES;;;3,99 €;PS3;;
Rock of Ages;ATLUS USA;;;7,99 €;PS3;;
Sackboy’s Prehistoric Moves™;Sony Interactive Entertainment Europe;;;3,99 €;PS3;"
                1.04 GB
              ";
Savage Moon™;Sony Interactive Entertainment Europe;;Estrategia;4,99 €;PS3;;
Shatter™;Sidhe;;Acción;7,99 €;PS3;;
Siren Blood Curse™ Capítulo cuatro: El fin es el comienzo;Sony Interactive Entertainment Europe;;Aventura;4,99 €;PS3;"
                2.5 GB
              ";
Sky Fighter™;Creat Studios, Inc;;Arcade;9,99 €;PS3;;
Smash Cars;Creat Studios, Inc;;Carreras;14,99 €;PS3;;
Snowy: Treasure Hunter;ALAWAR ENTERTAINMENT INC;;Casual;7,99 €;PS3;;
Space Channel 5 Part 2;SEGA EUROPE LTD;;MUSIC/RHYTHM;4,49 €;PS3;"
                1.55 GB
              ";
Sparkle Doublepack;10Tons Ltd.;;Puzzle;4,99 €;PS3, PS4, PS Vita;;
Spelunky;Mossmouth LLC;;Español;14,99 €;PS3;;
Sportsfriends;Die Gute Fabrik;;Deportes;13,99 €;PS3, PS4;;
Stealth Inc 2: A Game of Clones;Curve Digital;;Puzzle;14,99 €;PS3, PS4, PS Vita;;
Stealth Inc: A Clone in the Dark;Curve Digital;;Puzzle;9,99 €;PS3;;
SteinsGate;PQube Ltd;;Aventura;19,99 €;PS3;"
                5.54 GB
              ";
STRIDER;CE EUROPE LIMITED;;;14,99 €;PS3;"
                3.83 GB
              ";
Super Hang-On;SEGA EUROPE LTD;;Carreras;4,49 €;PS3;;
Super Motherload;XGen Studios;;Puzzle;13,99 €;PS3;;
TC's Splinter Cell Blacklist - Classic Edition;UBISOFT ENTERTAINMENT SA;;Acción;14,99 €;PS3;"
                12.45 GB
              ";
The Book of Unwritten Tales 2;THQ NORDIC GMBH;;Familia;29,99 €;PS3;"
                6.3 GB
              ";
The Darkness II;2K;;Shooter;14,99 €;PS3;"
                5.77 GB
              ";
The Guided Fate Paradox Full Game;NIS America;;Juegos de rol;19,99 €;PS3;"
                3.34 GB
              ";
The Last Guy;Sony Interactive Entertainment Europe;;Acción;4,99 €;PS3;;
The Swindle;Curve Digital;;Arcade;14,99 €;PS3, PS4, PS Vita;"
                1.21 GB
              ";
The Treasures of Montezuma 4;"
Paquete
Lanzado 22 Dic 2015












                  656 Calificaciones
                

";;Puzzle;4,99 €;PS3, PS4, PS Vita;"
                1.51 GB
              ";
The Trials of Topoq™;Sony Interactive Entertainment Europe;;Puzzle;3,99 €;PS3;;
THEXDER™ NEO;Square Enix LTD;;Acción;4,99 €;PS3;;
Titan Attacks!;Curve Digital;;Shooter;9,99 €;PS3, PS4, PS Vita;;
Tom Clancy’s EndWar™;UBISOFT ENTERTAINMENT SA;;Estrategia;9,99 €;PS3;"
                8.28 GB
              ";
Ultratron;Curve Digital;;Shooter;9,99 €;PS3, PS4, PS Vita;;
Under Night In-Birth Exe:Late;NIS America;;Arcade;19,99 €;PS3;"
                2.08 GB
              ";
UNMECHANICAL: EXTENDED EDITION;GRIP DIGITAL S.R.O.;;Aventura;9,99 €;PS3, PS4;"
                1.94 GB
              ";
Vessel;Strange Loop Games;;Acción;9,99 €;PS3;;
Virtua Fighter 5 Final Showdown;SEGA EUROPE LTD;;Lucha;12,99 €;PS3;"
                1.91 GB
              ";
Virtua Fighter 5 Final Showdown Complete Edition;SEGA EUROPE LTD;;Acción;24,99 €;PS3;"
                3.83 GB
              ";
Voodoo Dice;UBISOFT ENTERTAINMENT SA;;Puzzle;4,99 €;PS3;;
Wakeboarding HD™;Creat Studios, Inc;;Deportes;14,99 €;PS3;;
Warp™;EA Swiss Sarl;;;9,99 €;PS3;"
                1.14 GB
              ";
When Vikings Attack™;Sony Interactive Entertainment Europe;;Aventura;4,99 €;PS3;"
                1.23 GB
              ";
Wonderbook™: Diggs: Detective Privado;Sony Interactive Entertainment Europe;;Aventura;9,99 €;PS3;"
                6.36 GB
              ";
Wrecked Revenge Revisited;505 GAMES S.R.L.;;;11,99 €;PS3;;
Yaiba: Ninja Gaiden Z;Koei Tecmo Europe Ltd;;Acción;14,99 €;PS3;"
                5.15 GB
              ";
Zone of the Enders HD Edition;Konami;;Acción;7,99 €;PS3;"
                4.25 GB
              ";
1942: Joint Strike;CE EUROPE LIMITED;;Shooter;9,99 €;PS3;;
3D Collection;Sony Interactive Entertainment Europe;;Carreras;29,99 €;PS3;"
                3.46 GB
              ";
3 in 1 pack Targem Holidays Bundle ;TARGEM GAMES;;Carreras;14,99 €;PS3;"
                1.56 GB
              ";
4 Elements HD;BAL HOLDING LIMITED;;Puzzle;7,99 €;PS3;;
5 Star Wrestling;"
Juego PSN
Lanzado 18 Mar 2015












                  34 Calificaciones
                

";;Deportes;9,99 €;PS3;;
Aabs Animals;Aabs Inc;;Único;3,99 €;PS3;;
Aabs Animals (PS Vita & PS3) Bundle;Aabs Inc;;Único;7,49 €;PS3, PS Vita;;
About a Blob;DRINKBOX STUDIOS INC.;;Acción;6,99 €;PS3;;
About a Blob - Paquete Premium;DRINKBOX STUDIOS INC.;;Acción;12,99 €;PS3;;
Absolute Supercars;SYSTEM 3 SOFTWARE;;Carreras;20,99 €;PS3;"
                2.92 GB
              ";
ACTUALIZACIÓN de MotoGP™14 Compact a la versión completa;MILESTONE SRL;;Carreras;9,99 €;PS3;"
                9.83 GB
              ";
Adam’s Venture: Chronicles;"
Juego PSN
Lanzado 12 Oct 2015












                  22 Calificaciones
                

";;Inglés;14,99 €;PS3;"
                1.47 GB
              ";
Aegis of Earth: Protonovus Assault;PQube Ltd;;Estrategia;14,99 €;PS3;"
                1.05 GB
              ";
Agarest: Generations of War 2;GHOSTLIGHT LIMITED;;Juegos de rol;34,99 €;PS3;"
                13.69 GB
              ";
Agarest: Generations of War 2 Soundtrack;GHOSTLIGHT LIMITED;;Juegos de rol;4,99 €;PS3;;
Agarest: Generations of War Zero Soundtrack;GHOSTLIGHT LIMITED;;Juegos de rol;4,99 €;PS3;;
Air Conflicts: Pacific Carriers;BITCOMPOSER GAMES GMBH;;Aventura;9,99 €;PS3;"
                2.92 GB
              ";
Air Conflicts: Secret Wars;BITCOMPOSER GAMES GMBH;;Simulador;9,99 €;PS3;"
                2.3 GB
              ";
Air Conflicts: Vietnam;BITCOMPOSER GAMES GMBH;;Simulador;9,99 €;PS3;"
                3.78 GB
              ";
AKIBA'S TRIP: Undead & Undressed;NIS America;;Juegos de rol;19,99 €;PS3;"
                4.4 GB
              ";
Alawar Hidden Realms Bundle;ALAWAR ENTERTAINMENT INC;;Casual;34,99 €;PS3;"
                3.05 GB
              ";
Alex Kidd in Miracle World™;SEGA EUROPE LTD;;Familia;4,49 €;PS3;;
Alice: Madness Returns™;EA Swiss Sarl;;Horror;19,99 €;PS3;"
                5.39 GB
              ";
Alien Breed;Team 17 Digital LTD;;Shooter;7,99 €;PS3;;
Alien Breed 2: Assault;Team 17 Digital LTD;;Shooter;8,99 €;PS3;"
                1.33 GB
              ";
Alien Breed 3: Descent;Team 17 Digital LTD;;Shooter;8,99 €;PS3;"
                1.64 GB
              ";
Alien Breed: Impact;Team 17 Digital LTD;;Shooter;8,99 €;PS3;"
                1.15 GB
              ";
Alien Breed™ Trilogy;Team 17 Digital LTD;;Shooter;20,99 €;PS3;"
                4.13 GB
              ";
Alien: Isolation ;SEGA EUROPE LTD;;Horror;19,99 €;PS3;"
                9.26 GB
              ";
Alien Rage;CI GAMES S.A.;;;;PS3;;
Alien Rage;CI GAMES S.A.;;;2,99 €;PS3;"
                2.6 GB
              ";
Aliens: Colonial Marines;SEGA EUROPE LTD;;Shooter;12,99 €;PS3;"
                6.54 GB
              ";
Alien Shooter;4HIT LTD;;Shooter;7,99 €;PS3;;
Alien Shooter + Doodle God Bundle;4HIT LTD;;Shooter;9,99 €;PS3;;
Alien Spidy;"
Juego PSN
Lanzado 8 Mayo 2013












                  6 Calificaciones
                

";;Arcade;4,99 €;PS3;"
                1.5 GB
              ";
Alien Spidy;"
Paquete
Lanzado 1 Oct 2015












                  4 Calificaciones
                

";;Arcade;4,99 €;PS3;"
                1.5 GB
              ";
Alien Zombie MegaDeath;PomPom;;Acción;6,49 €;PS3;;
All Zombies Must Die!;DOUBLESIX DIGITAL PUBLISHING LTD;;Shooter;9,99 €;PS3;;
Altered Beast;SEGA EUROPE LTD;;Arcade;4,49 €;PS3;;
A-MEN;Namco Bandai Partners SAS;;;6,99 €;PS3;;
A-men 2;BLOOBER TEAM S.A.;;Puzzle;11,99 €;PS3;;
Amplitude;Harmonix Music Systems Inc.;;MUSIC/RHYTHM;19,99 €;PS3;"
                1.48 GB
              ";
AMY™;ANUMAN INTERACTIVE SA;;Horror;2,99 €;PS3;"
                1.58 GB
              ";
Anarchy: Rush Hour;GAIJIN ENTERTAINMENT CORP;;Carreras;4,99 €;PS3;;
Anna – Extended Edition;"
Juego PSN
Lanzado 1 Abr 2015












                  734 Calificaciones
                

";;Horror;9,99 €;PS3;;
Anomaly Warzone Earth;11 Bit Studios S.A.;;Estrategia;8,99 €;PS3;;
Antología Assassin's Creed® II;UBISOFT ENTERTAINMENT SA;;Aventura;14,99 €;PS3;"
                9.17 GB
              ";
Antología Assassin's Creed® La Hermandad;UBISOFT ENTERTAINMENT SA;;Aventura;19,99 €;PS3;"
                9.84 GB
              ";
A.O.T. Wings of Freedom;Koei Tecmo Europe Ltd;;Acción;39,99 €;PS3;"
                15.08 GB
              ";
Ape Escape™;Sony Interactive Entertainment Europe;;Familia;9,99 €;PS3;"
                2.74 GB
              ";
Aprender con los PooYoos - Episodio 1;ANUMAN INTERACTIVE SA;;Familia;1,99 €;PS3;;
Aprender con los PooYoos - Episodio 2;ANUMAN INTERACTIVE SA;;Familia;1,99 €;PS3;;
Aqua Panic!;EKO SOFTWARE;;Estrategia;9,99 €;PS3;;
Arcade Apocalypse Bundle;Curve Digital;;Shooter;11,99 €;PS3, PS4, PS Vita;;
Arcana Heart 3 LOVE MAX!!!!!;NIS America;;Lucha;19,99 €;PS3;"
                3.09 GB
              ";
ArcaniA - The complete tale;THQ NORDIC GMBH;;Juegos de rol;29,99 €;PS3;"
                7.09 GB
              ";
Arkedo Series: 01 - JUMP!;SANUK GAMES SARL;;Puzzle;1,99 €;PS3;;
Arkedo Series: 02 - SWAP!;SANUK GAMES SARL;;Puzzle;1,99 €;PS3;;
Arkedo Series: 03 - PIXEL!;SANUK GAMES SARL;;Puzzle;1,99 €;PS3;;
Armageddon Riders;TARGEM GAMES;;Carreras;8,99 €;PS3;;
Armageddon Riders + Planets Under Attack Bundle;TARGEM GAMES;;Carreras;11,99 €;PS3;"
                1.24 GB
              ";
Armored Core V;BANDAI NAMCO ENTERTAINMENT EUROPE;;;;PS3;;
ARMORED CORE™: VERDICT DAY™;BANDAI NAMCO ENTERTAINMENT EUROPE;;Acción;12,99 €;PS3;"
                5.61 GB
              ";
ARMY OF TWO;EA Swiss Sarl;;Shooter;;PS3;;
