name;provider;release_date;genres;price;platform;size;is_plus_exclusive
KILLZONE™ SHADOW FALL INTERCEPT (Independiente);Sony Interactive Entertainment Europe;;Español;19,99 €;PS4;"
                11.09 GB
              ";
Road Not Taken;"
Juego PSN
Lanzado 6 Ago 2014












                  7472 Calificaciones
                

";;Único;14,99 €;PS4;;
Pure Pool;Ripstone Vision 1 Limited;;Deportes;9,99 €;PS4;;
The Last of Us™ Remastered;Sony Interactive Entertainment Europe;;Español;39,99 €;PS4;"
                47.19 GB
              ";
Crimsonland;10Tons Ltd.;;Shooter;2,99 €;PS4;;
Guacamelee! Super Turbo Championship Edition;DRINKBOX STUDIOS INC.;;Puzzle;13,99 €;PS4;;
Guacamelee! Super Turbo Championship Edition - Act. PS4™ ;DRINKBOX STUDIOS INC.;;Aventura;3,99 €;PS4;;
Air Conflicts Vietnam Ultimate Edition;BITCOMPOSER GAMES GMBH;;Simulador;17,99 €;PS4;"
                10.97 GB
              ";
Paquete de reserva Sniper Elite 3;505 GAMES S.R.L.;;Shooter;;PS4;;
Blue Estate®;FOCUS HOME INTERACTIVE;;Shooter;12,99 €;PS4;"
                2.7 GB
              ";
That Trivia Game;"
Juego PSN
Lanzado 25 Jun 2014












                  920 Calificaciones
                

";;Grupo;4,99 €;PS4;;
Valiant Hearts: The Great War  ;UBISOFT ENTERTAINMENT SA;;Puzzle;14,99 €;PS4;"
                1.31 GB
              ";
EA SPORTS™ UFC®;EA Swiss Sarl;;Deportes;12,99 €;PS4;"
                17.21 GB
              ";
MotoGP™14;MILESTONE SRL;;Carreras;29,99 €;PS4;"
                15.92 GB
              ";
Murdered: Soul Suspect™;Square Enix LTD;;Acción;19,99 €;PS4;"
                9.41 GB
              ";
PixelJunk™ Shooter Ultimate;Double Eleven Limited;;Único;11,99 €;PS4, PS Vita;;
Worms™ Battlegrounds;Team 17 Digital LTD;;Estrategia;14,99 €;PS4;"
                2.24 GB
              ";
Puddle™;Neko Entertainment SARL;;Puzzle;6,99 €;PS4;"
                1.61 GB
              ";
Sparkle 2;10Tons Ltd.;;Puzzle;1,99 €;PS4;;
Transistor;"
Juego PSN
Lanzado 21 Mayo 2014












                  10226 Calificaciones
                

";;Juegos de rol;18,99 €;PS4;"
                2.58 GB
              ";
Wolfenstein: The New Order;Bethesda;;Shooter;19,99 €;PS4;"
                47.11 GB
              ";
The LEGO® Movie Videogame;WARNER BROS. INTERACTIVE;;Aventura;39,99 €;PS4;"
                6.84 GB
              ";
Bound by Flame™;FOCUS HOME INTERACTIVE;;Juegos de rol;11,99 €;PS4;"
                5.56 GB
              ";
Daylight™;ATLUS USA;;Horror;14,99 €;PS4;"
                1.98 GB
              ";
Stick it to the Man™;RIPSTONE LTD;;Puzzle;7,99 €;PS4;"
                1.63 GB
              ";
Pure Chess® Complete Bundle;RIPSTONE LTD;;Estrategia;11,99 €;PS4;;
Trials Fusion;UBISOFT ENTERTAINMENT SA;;Carreras;19,99 €;PS4;"
                5.14 GB
              ";
FINAL FANTASY® XIV Online Starter Edition;Square Enix LTD;;Juegos de rol;14,99 €;PS4;"
                11.33 GB
              ";
LEGO® El Hobbit;WARNER BROS. INTERACTIVE;;Familia;39,99 €;PS4;"
                8.68 GB
              ";
Strike Suit Zero: Director's Cut;"
Juego PSN
Lanzado 9 Abr 2014












                  980 Calificaciones
                

";;Acción;17,99 €;PS4;"
                1.94 GB
              ";
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition;Koei Tecmo Europe Ltd;;Acción;24,99 €;PS4;"
                23.74 GB
              ";
King Oddball;10Tons Ltd.;;Puzzle;4,99 €;PS4;;
Call of Duty®: Ghosts - Edición Oro;Activision Blizzard Int'l BV;;Acción;69,99 €;PS4;"
                37.08 GB
              ";
Edición legendaria de inFAMOUS Second Son™;Sony Interactive Entertainment Europe;;Holandés;49,99 €;PS4;"
                23.81 GB
              ";
inFAMOUS Second Son™;Sony Interactive Entertainment Europe;;Holandés;39,99 €;PS4;"
                23.81 GB
              ";
Metal Gear Solid V: Ground Zeroes;Konami;;Acción;19,99 €;PS4;"
                3.9 GB
              ";
Stealth Inc: Ultimate Edition;Curve Digital;;Puzzle;12,99 €;PS4;;
SteamWorld Dig;IMAGE & FORM INTERNATIONAL AB;;Acción;8,99 €;PS4, PS Vita;;
Awesomenauts Assemble!;Ronimo Games;;Shooter;9,99 €;PS4;"
                1.79 GB
              ";
